,max_drawdown
sim_704,-0.13168803171496357
sim_705,-0.33437022673226624
sim_706,-0.37668056889008694
sim_707,-0.21012070152477125
sim_708,-0.1630959836672824
sim_709,-0.22169237096864292
sim_710,-0.3356058407021958
sim_711,-0.1567384986875675
sim_712,-0.2810863351496552
sim_713,-0.22953566089099775
sim_714,-0.13941974175712513
sim_715,-0.21652044073067234
sim_716,-0.1365053366564679
sim_717,-0.16141551300499457
sim_718,-0.1510217891181822
sim_719,-0.19723855382542888
sim_720,-0.16199825133271673
sim_721,-0.18873293847991546
sim_722,-0.19179859930236043
sim_723,-0.26836496211568395
sim_724,-0.17637073847642804
sim_725,-0.34794593521515715
sim_726,-0.2761802754109959
sim_727,-0.21383380833887977
sim_728,-0.215527938103649
sim_729,-0.12786989027380824
sim_730,-0.4976871636654048
sim_731,-0.13574210074835436
sim_732,-0.20225648871588164
sim_733,-0.3300963220907285
sim_734,-0.26407486243508693
sim_735,-0.2274754232199132
sim_736,-0.13567681358237005
sim_737,-0.2763587307479157
sim_738,-0.23319580593125255
